"user_id","tipo_anomalia","total_records","n_negativos","kWh_negativos_abs","n_extremos_horarios","kWh_extremos_horarios","n_dias_negativos","kWh_dias_negativos_abs","n_dias_extremos","kWh_dias_extremos","kWh_afectado_horario","pct_kWh_usuario_afectado","pct_kWh_global_afectado"
"ef49263e39546f3372e5d19224879d0aa496e0508c167d7cd3eb37ba56601c4f","extremos diarios",34320,0,0,0,0,0,0,2,409.378,0,0,0
"2b505dbd30734f496ed0817659427796d50c2fc5f73422088da4b33778d7cdff","extremos diarios",34776,0,0,0,0,0,0,375,86949.094,0,0,0
"80e5e88e4bd02a2dc2a2be77bf5d544805660190e7db9b7d3665f467b8c1e735","extremos diarios",16656,0,0,0,0,0,0,437,165815.57,0,0,0
"db7af9ad954b90b54aace0b6735b743a80680f93a842c35d6c259fe451f77655","extremos diarios",34704,0,0,0,0,0,0,3,613.741,0,0,0
"1129e804e6a775f8e49b392914385619cfb80dc268bebbd7bc0d9478b3a0efcd","extremos diarios",22225,0,0,0,0,0,0,82,20007.045,0,0,0
"47f937284f1a2b8ca1073386af7a57b9b8391801367ef5d62b42ddb29b990e7f","extremos diarios",31321,0,0,0,0,0,0,128,27001.51,0,0,0
"fc23fdfc0dc3fa07cff7dfc262bab28fd1efbdb2b5dcf6532f894149d3636502","extremos diarios",16080,0,0,0,0,0,0,51,11736.074,0,0,0
"465c43e42817b4874d3131be20e000f22dbebc1e217aeaf1f74a73c354678b58","extremos diarios",16080,0,0,0,0,0,0,98,20560.254,0,0,0
"7c9ae4dd6958ab72d66379f3a41ed37be72073e57d96d880ca96288e0740406a","extremos diarios",34680,0,0,0,0,0,0,3,614.061,0,0,0
"56c5f112997b0431d4bfdb84a062d2c5af8e22a3267bb213966d21d1b7e43fab","extremos diarios",58321,0,0,0,0,0,0,10,2223.522,0,0,0
"eae595c189b1db67676fa64a0c7b96d63503c6c931646cd3f63deb2c9c5de2e3","extremos diarios",26420,0,0,0,0,0,0,1,215.359,0,0,0
"aad6426ebfaac8de72c0eadda2a78b7e8e52b30bdcd2e1b6877ad0efb7529ae0","extremos diarios",34752,0,0,0,0,0,0,6,1263.973,0,0,0
"3073408c0cb7ca8c5b75593d38d487f27e898a666e52f999a3ce4942191db87d","extremos diarios",17040,0,0,0,0,0,0,158,35572.787,0,0,0
"296e522c2b8cc092e639a54415c291eb468b44eb3f228d4b2f62c786b51f62de","extremos diarios",22545,0,0,0,0,0,0,210,50655.715,0,0,0
"d09e35ce73dc1c65192b761af54eddcd653af2d3d78eb29a86a64323d377a652","extremos diarios",6431,0,0,0,0,0,0,14,3114.153,0,0,0
"616756bbff9b97bc259924fafb093858f19a713a6a8210f1174de84f5d3dd532","extremos diarios",33672,0,0,0,0,0,0,377,116695.8049,0,0,0
